Absolute path;Relative path;Class
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/0;dataset/DogsIT/0;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/1;dataset/DogsIT/1;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/2;dataset/DogsIT/2;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/3;dataset/DogsIT/3;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/4;dataset/DogsIT/4;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/5;dataset/DogsIT/5;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/6;dataset/DogsIT/6;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/7;dataset/DogsIT/7;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/8;dataset/DogsIT/8;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/9;dataset/DogsIT/9;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/10;dataset/DogsIT/10;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/11;dataset/DogsIT/11;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/12;dataset/DogsIT/12;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/13;dataset/DogsIT/13;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/14;dataset/DogsIT/14;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/15;dataset/DogsIT/15;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/16;dataset/DogsIT/16;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/17;dataset/DogsIT/17;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/18;dataset/DogsIT/18;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/19;dataset/DogsIT/19;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/20;dataset/DogsIT/20;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/21;dataset/DogsIT/21;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/22;dataset/DogsIT/22;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/23;dataset/DogsIT/23;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/24;dataset/DogsIT/24;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/25;dataset/DogsIT/25;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/26;dataset/DogsIT/26;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/27;dataset/DogsIT/27;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/28;dataset/DogsIT/28;dog
